ID,ZONE_NAME,NATURE,STATUS,ORIGINAL_LOCATION,CITY,matched_muni,admin3_pcode,province_name,admin2_pcode,region_name,admin1_pcode
125,Fiesta World Mall IT Center,IT Center,Operating,"Barrio Maraouy, Lipa City, Batangas ",Lipa City,Lipa City,PH041014000,Batangas,PH041000000,Region IV-A,PH040000000
126,Filandia IT Center   ,IT Center,Operating,"Jacinto Extension cor. Quirino Avenue, Davao City",Davao City,Davao City,PH112402000,Davao del Sur,PH112400000,Region XI,PH110000000
127,Filinvest Cebu Cyberzone,IT Center,Operating,"Salinas Drive, Lahug, Cebu City ",Lahug,Cebu City,PH072217000,Cebu,PH072200000,Region VII,PH070000000
128,Filinvest Innovation Park [formerly New Clark City-Phase 1],Manufacturing,Operating,"Clark Special Economic Zone, Barangay Aranguren, Capas, Tarlac",Capas,Capas,PH036904000,Tarlac,PH036900000,Region III,PH030000000
129,Filinvest Technology Park - Calamba,Manufacturing,Operating,"Punta, Burol & Bubuyan, Calamba City,  Laguna",Calamba City,City of Calamba,PH043405000,Laguna,PH043400000,Region IV-A,PH040000000
130,First Cavite Industrial Estate,Manufacturing,Operating,"Langkaan, Dasmariñas, Cavite",Dasmariñas,City of Dasmariñas,PH042106000,Cavite,PH042100000,Region IV-A,PH040000000
131,First Industrial Township - SEZ,Manufacturing,Operating,"Trapiche, Pagaspas & Baloc-Baloc, Tanauan, Batangas",Tanauan,Tanauan,PH083748000,Leyte,PH083700000,Region VIII,PH080000000
132,First Oriental Business and Industrial Park,Manufacturing,Operating,"Ilang, Bunawan District, Davao  City",Davao  City,Davao City,PH112402000,Davao del Sur,PH112400000,Region XI,PH110000000
133,First Philippine Industrial Park ,Manufacturing,Operating,"Barangays Ulango and Laurel, Tanauan City and Sta. Anastacia,  Sto. Tomas, Batangas",Sto. Tomas,Santo Tomas,PH112318000,Davao del Norte,PH112300000,Region XI,PH110000000
134,First Philippine Industrial Park II,Manufacturing,Operating,"Barangays Sta. Anastacia and San Rafael, Sto. Tomas, Batangas",Sto. Tomas,Santo Tomas,PH112318000,Davao del Norte,PH112300000,Region XI,PH110000000
135,FLB Corporate Center ,IT Center,Operating,"Arch. Reyes Ave., Cebu Business Park, Mabolo, Cebu City",Mabolo,Cebu City,PH072217000,Cebu,PH072200000,Region VII,PH070000000
136,Food Terminal Incorporated Special Economic Zone,Manufacturing,Operating,"East Service Road, Taguig City",Taguig City,Taguig City,PH137607000,"NCR, Fourth District",PH137600000,National Capital Region,PH130000000
137,Fort Ilocandia Tourism Economic Zone,Tourism,Operating,"Balacad, Laoag City, Ilocos Norte",Ilocos Norte,Laoag City,PH012812000,Ilocos Norte,PH012800000,Region I,PH010000000
138,GAGFA IT Center   ,IT Center,Operating,"F. Cabahug Street, Barangay Kasambangan, Cebu City",Barangay Kasambangan,Cebu City,PH072217000,Cebu,PH072200000,Region VII,PH070000000
139,Gateway Business Park ,Manufacturing,Operating,"Javalera, Gen. Trias, Cavite",Gen. Trias,City of General Trias,PH042108000,Cavite,PH042100000,Region IV-A,PH040000000
140,Gateway Office Tower  ,IT Center,Operating,"Araneta Center, Cubao, Quezon City",Cubao,Quezon City,PH137404000,"NCR, Second District",PH137400000,National Capital Region,PH130000000
