ID,ZONE_NAME,NATURE,STATUS,ORIGINAL_LOCATION,CITY,matched_muni,admin3_pcode,province_name,admin2_pcode,region_name,admin1_pcode
284,Philplans Corporate Center  ,IT Center,Operating,"10th Avenue corner Kalayaan Avenue, Bonifacio Triangle, Bonifacio Global City, Taguig City ",Taguig City,Taguig City,PH137607000,"NCR, Fourth District",PH137600000,National Capital Region,PH130000000
285,Phividec Industrial Estate-Economic Zone ,Manufacturing,Operating,"Municipalities of Villanueva and Tagoloan, Misamis Oriental ",Misamis Oriental,Tago,PH166818000,Surigao del Sur,PH166800000,Region XIII,PH160000000
286,Pioneer House Cebu  ,IT Center,Operating,"Lot 8, Blk. 14, Cardinal Rosales Ave., Brgy. Mabolo, Cebu City",Brgy. Mabolo,Cebu City,PH072217000,Cebu,PH072200000,Region VII,PH070000000
287,Plastic Processing Center SEZ ,Manufacturing,Operating,"Alion and Cabcaben, Mariveles, Bataan",Mariveles,Mariveles,PH030807000,Bataan,PH030800000,Region III,PH030000000
288,Polaris Center ,IT Center,Operating,"Spectrum Midway, Filinvest Corporate City, Alabang, Muntinlupa City",Muntinlupa City,City of Muntinlupa,PH137603000,"NCR, Fourth District",PH137600000,National Capital Region,PH130000000
289,Pueblo de Oro IT Park ,IT Park,Operating,"Pueblo Business Park, Barangay Upper Carmen, Cagayan de Oro City",Barangay Upper Carmen,Cebu City,PH072217000,Cebu,PH072200000,Region VII,PH070000000
290,Pueblo de Panay Technopark,IT Park,Operating," Roxas City, Capiz",Capiz,Roxas City,PH061914000,Capiz,PH061900000,Region VI,PH060000000
291,Q Plaza Building II   ,IT Center,Operating,"Tatlong Kawayan, Barangay Dela Paz, Pasig City",Pasig City,City of Pasig,PH137403000,"NCR, Second District",PH137400000,National Capital Region,PH130000000
292,Quezon Agro-Industrial Zone,Agro-Industrial,Operating,"Barangay San Jose, Quezon, Bukidnon",Quezon,Quezon City,PH137404000,"NCR, Second District",PH137400000,National Capital Region,PH130000000
293,RBC Sheridan   ,IT Center,Operating,"Corner of United Street and Sheridan Street, Barangay Highway Hills, Mandaluyong City ",Mandaluyong City,City of Mandaluyong,PH137401000,"NCR, Second District",PH137400000,National Capital Region,PH130000000
294,RCBC Plaza  ,IT Center,Operating,"Ayala Ave. cor. Gil Puyat Ave., Makati City",Makati City,City of Makati,PH137602000,"NCR, Fourth District",PH137600000,National Capital Region,PH130000000
295,Rio Tuba Export Processing Zone,Manufacturing,Operating,"Rio Tuba, Bataraza, Palawan",Palawan,Bataraza,PH175305000,Palawan,PH175300000,Region IV-B,PH170000000
296,Robinland IT/BPO Center   ,IT Center,Operating,"Zuellig Ave., Mandaue Reclamation Area, Mandaue City, Province of Cebu",Mandaue City,Mandaue City,PH072230000,Cebu,PH072200000,Region VII,PH070000000
297,Robinsons Big R Supercenter Cainta Junction ,IT Center,Operating,"Ortigas Avenue Extension, Barangay Sto. Domingo, Cainta, Rizal",Cainta,Cainta,PH045805000,Rizal,PH045800000,Region IV-A,PH040000000
298,Robinsons Cybergate Cebu  ,IT Center,Operating,"Don Gil Garcia Street, Barangay Capitol Site, Cebu City",Barangay Capitol Site,Cebu City,PH072217000,Cebu,PH072200000,Region VII,PH070000000
299,Robinsons Cybergate Center   ,IT Center,Operating,"Araneta Street, Singcang, Bacolod City",Bacolod City,Bacolod City,PH064501000,Negros Occidental,PH064500000,Region VI,PH060000000
300,Robinsons Cybergate Davao   ,IT Center,Operating,"J.P. Laurel Avenue, Davao City",Davao City,Davao City,PH112402000,Davao del Sur,PH112400000,Region XI,PH110000000
301,Robinsons Cybergate Naga,IT Center,Operating,"Naga Diversion Road corner Almeda Highway, Barangay Triangulo, Naga City ",Naga City,Naga City,PH051724000,Camarines Sur,PH051700000,Region V,PH050000000
302,Robinsons CyberPark ,IT Park,Operating,"EDSA corner Pioneer Street, Mandaluyong City",Mandaluyong City,City of Mandaluyong,PH137401000,"NCR, Second District",PH137400000,National Capital Region,PH130000000
303,Robinsons Cyberpark Davao,IT Park,Operating,"J.P. Laurel Avenue, Davao City",Davao City,Davao City,PH112402000,Davao del Sur,PH112400000,Region XI,PH110000000
304,Robinsons Galleria Cebu ,IT Center,Operating,"General Maxilom Avenue, Cebu City",Cebu City,Cebu City,PH072217000,Cebu,PH072200000,Region VII,PH070000000
305,Robinsons Luisita  ,IT Center,Operating,"McArthur Highway, San Miguel, Tarlac City, Tarlac ",Tarlac City,City of Tarlac,PH036916000,Tarlac,PH036900000,Region III,PH030000000
306,Robinsons Luisita 2,IT Center,Operating,"McArthur Highway, San Miguel, Tarlac City ",San Miguel,San Miguel,PH166816000,Surigao del Sur,PH166800000,Region XIII,PH160000000
307,Robinsons Luisita 3,IT Center,Operating,"McArthur Highway, San Miguel, Tarlac City",San Miguel,San Miguel,PH166816000,Surigao del Sur,PH166800000,Region XIII,PH160000000
308,Robinsons Place Dasmariñas ,IT Center,Operating,"Aguinaldo Highway corner Governor’s Drive, Sitio Pala-pala, Barangay Sampaloc, Dasmariñas, Cavite",Dasmariñas,City of Dasmariñas,PH042106000,Cavite,PH042100000,Region IV-A,PH040000000
309,Robinsons Place Ilocos Norte Expansion ,IT Center,Operating,"Valdez Compound, Barangay 1 San Francisco, San Nicolas, Ilocos Norte",Ilocos Norte,San Francisco,PH166719000,Surigao del Norte,PH166700000,Region XIII,PH160000000
310,Robinsons Place Lipa ,IT Center,Operating,"JP Laurel National Highway, Mataas na Lupa, Lipa City",Lipa City,Lipa City,PH041014000,Batangas,PH041000000,Region IV-A,PH040000000
311,Robinsons Place Novaliches   ,IT Center,Operating,"1199 Quirino Highway corner Maligaya Road, Barangay Pasong Putik, Novaliches, Quezon City",Novaliches,Quezon City,PH137404000,"NCR, Second District",PH137400000,National Capital Region,PH130000000
312,Robinsons Place Otis (Manila Gas)    ,IT Center,Operating,"Paz Mendiola Guanzon Street, Paco, Manila",Manila,Paco,PH133911000,"NCR, City of Manila, First District",PH133900000,National Capital Region,PH130000000
313,Robinsons Place Sta. Rosa  ,IT Center,Operating,"Brgy. Tagapo, Sta. Rosa City, Laguna",Sta. Rosa City,Santa Rosa,PH034928000,Nueva Ecija,PH034900000,Region III,PH030000000
314,Robinsons Summit Center  ,IT Center,Operating,"6783 Ayala Avenue, Salcedo Village, Barangay Bel-Air, Makati City ",Makati City,City of Makati,PH137602000,"NCR, Fourth District",PH137600000,National Capital Region,PH130000000
315,Robinsons-Equitable Tower  ,IT Center,Operating,"ADB Avenue corner Poveda Street, Ortigas Center, Pasig City",Pasig City,City of Pasig,PH137403000,"NCR, Second District",PH137400000,National Capital Region,PH130000000
316,Samar Agro-Industrial Economic Zone ,Agro-Industrial,Operating,"Barangay Malajog, Tinambacan District, Calbayog City, Western Samar ",Calbayog City,Calbayog City,PH086003000,Samar,PH086000000,Region VIII,PH080000000
317,San Carlos Ecozone,Agro-Industrial,Operating,"Palampas and Punao, San Carlos City, Negros Occidental",San Carlos City,San Carlos City,PH064524000,Negros Occidental,PH064500000,Region VI,PH060000000
318,San Carlos Ecozone II,Manufacturing,Operating,"Barangay Palampas, San Carlos City, Negros Occidental",San Carlos City,San Carlos City,PH064524000,Negros Occidental,PH064500000,Region VI,PH060000000
319,San Lazaro Tourism and Business Park,Tourism,Operating,"Felix Huertas Street, Sta. Cruz, Manila",Manila,Santa Cruz,PH133905000,National Capital Region,PH133900000,National Capital Region,PH130000000
320,Sanctuary IT Building  ,IT Center,Operating,"Mac Arthur Highway,Brgy. Nancayasan, Urdaneta City, Pangasinan",Urdaneta City,City of Urdaneta,PH015546000,Pangasinan,PH015500000,Region I,PH010000000
321,Sarangani Economic Development Zone ,Agro-Industrial,Operating,"Cannery, Polomolok, South Cotabato",Polomolok,Polomolok,PH126312000,South Cotabato,PH126300000,Region XII,PH120000000
322,Scape  ,IT Center,Operating,"Macapagal Avenue cor. Pearl Drive, Central Business Park 1, Barangay 76, San Rafael, Pasay City",Pasay City,Pasay City,PH137605000,"NCR, Fourth District",PH137600000,National Capital Region,PH130000000
323,SDC IT Building  ,IT Center,Operating,"Dr. A. Santos Avenue cor. Soreena Avenue, Parañaque City",Parañaque City,City of Parañaque,PH137604000,"NCR, Fourth District",PH137600000,National Capital Region,PH130000000
324,Seatrium Philippines Marine - SEZ [formerly Keppel Philippines Marine Special Economic Zone],Manufacturing,Operating,"Barangay San Miguel, Bauan, Batangas",Bauan,Bauan,PH041006000,Batangas,PH041000000,Region IV-A,PH040000000
325,Shaw Center Mall ,IT Center,Operating,"Shaw Boulevard cor. Nueve de Pebrero Street, Barangay Addition Hills, Mandaluyong City",Mandaluyong City,City of Mandaluyong,PH137401000,"NCR, Second District",PH137400000,National Capital Region,PH130000000
326,Silver City  ,IT Center,Operating,"Frontera Verde Drive, Frontera Verde, Ortigas Avenue, Pasig City",Pasig City,City of Pasig,PH137403000,"NCR, Second District",PH137400000,National Capital Region,PH130000000
327,Silver City 2 & 3  ,IT Center,Operating,"Along Frontera Verde Drive, Frontera Verde, E. Rodriguez Jr. Avenue, Ugong, Pasig City ",Pasig City,City of Pasig,PH137403000,"NCR, Second District",PH137400000,National Capital Region,PH130000000
328,Silver City 5 [formerly Transcom Center]  ,IT Center,Operating,"C-5 corner Las Fiestas Road, Frontera Verde, Pasig City ",Pasig City,City of Pasig,PH137403000,"NCR, Second District",PH137400000,National Capital Region,PH130000000
329,Skytech IT Park (Mabalacat),IT Park,Operating,"Barangay Camachiles, Mabalacat, Pampanga",Mabalacat,Mabalacat City,PH035409000,Pampanga,PH035400000,Region III,PH030000000
330,SLC Building,IT Center,Operating,"6797 Ayala Avenue, Makati City",Makati City,City of Makati,PH137602000,"NCR, Fourth District",PH137600000,National Capital Region,PH130000000
331,SM Baguio Cyberzone Building  ,IT Center,Operating,"Harrison Road, Baguio City, Benguet Province",Baguio City,Baguio City,PH141102000,Benguet,PH141100000,Cordillera Administrative Region,PH140000000
332,SM BF – Parañaque IT Center  ,IT Center,Operating,"Dr. A. Santos Avenue corner President’s Avenue, Barangay BF, Parañaque City ",Parañaque City,City of Parañaque,PH137604000,"NCR, Fourth District",PH137600000,National Capital Region,PH130000000
333,SM City Clark IT Park,IT Park,Operating,"M. A. Roxas Highway, Malabanias, Angeles City ",Angeles City,Angeles City,PH035401000,Pampanga,PH035400000,Region III,PH030000000
334,SM City Fairview – Annex II   ,IT Center,Operating,"Regalado Avenue corner Qurino Hi-way, Barangay Pasong Putik, Novaliches, Quezon City",Novaliches,Quezon City,PH137404000,"NCR, Second District",PH137400000,National Capital Region,PH130000000
335,SM City Fairview - BPO Towers,IT Center,Operating,"Quirino Highway corner Regalado Avenue, Barangay Pasong Putik, Novaliches, Quezon City",Novaliches,Quezon City,PH137404000,"NCR, Second District",PH137400000,National Capital Region,PH130000000
336,SM City Lipa    ,IT Center,Operating,"Ayala High, Lipa City, Batangas",Lipa City,Lipa City,PH041014000,Batangas,PH041000000,Region IV-A,PH040000000
337,SM City North EDSA Complex,IT Park,Operating,"EDSA corner North Avenue, Quezon City",Quezon City,Quezon City,PH137404000,"NCR, Second District",PH137400000,National Capital Region,PH130000000
338,SM City Pampanga ,IT Center,Operating,"City of San Fernando and Municipality of Mexico, Pampanga",Pampanga,San Fernando,PH175913000,Romblon,PH175900000,Region IV-B,PH170000000
339,SM City San Mateo,IT Center,Operating,"General Luna Avenue, Barangay Ampid 1, San Mateo, Rizal",San Mateo,San Mateo,PH045811000,Rizal,PH045800000,Region IV-A,PH040000000
340,SM Cyber West Avenue   ,IT Center,Operating,"EDSA corner West Avenue and Bulacan Streets, Quezon City",Quezon City,Quezon City,PH137404000,"NCR, Second District",PH137400000,National Capital Region,PH130000000
341,SM iCity 2 ,IT Park,Operating,"SM Central Business Park, Bay City, Pasay City",Pasay City,Pasay City,PH137605000,"NCR, Fourth District",PH137600000,National Capital Region,PH130000000
342,SM iCity 3,IT Park,Operating,"SM Central Business Park 1-A, Mall of Asia Complex, Pasay City",Pasay City,Pasay City,PH137605000,"NCR, Fourth District",PH137600000,National Capital Region,PH130000000
343,SM Lanang Premier IT Center,IT Center,Operating,"J.P. Laurel Avenue, Barangay San Antonio, Agdao District, Davao City",Davao City,Davao City,PH112402000,Davao del Sur,PH112400000,Region XI,PH110000000
344,SM Makati Cyber Zone 2 Building,IT Center,Operating,"Gil Puyat Avenue corner Zodiac and Jupiter Streets, Makati City",Makati City,City of Makati,PH137602000,"NCR, Fourth District",PH137600000,National Capital Region,PH130000000
345,SM Makati Cyberzone Building   ,IT Center,Operating,"69 Jupiter Street, Makati City",Makati City,City of Makati,PH137602000,"NCR, Fourth District",PH137600000,National Capital Region,PH130000000
346,SM Megamall Building D IT Center  ,IT Center,Operating,"Barangay Wack-Wack, Mandaluyong City",Mandaluyong City,City of Mandaluyong,PH137401000,"NCR, Second District",PH137400000,National Capital Region,PH130000000
347,SM Megamall I.T. Center  ,IT Center,Operating,"Brgy. Wack-Wack, Mandaluyong City",Mandaluyong City,City of Mandaluyong,PH137401000,"NCR, Second District",PH137400000,National Capital Region,PH130000000
348,SM Mezza Strip IT Center  ,IT Center,Operating,"Aurora Boulevard corner Araneta Avenue, Barangay Doña Imelda, Quezon City",Barangay Doña Imelda,Quezon City,PH137404000,"NCR, Second District",PH137400000,National Capital Region,PH130000000
349,SM Strata [formerly SM City Iloilo BPO Tower],IT Center,Operating,"Along Benigno Aquino Avenue, Mandurriao, Iloilo City",Mandurriao,Iloilo City,PH063022000,Iloilo,PH063000000,Region VI,PH060000000
350,SMDM IT Center  ,IT Center,Operating,"Sitio Pala-Pala, Barangay Sampaloc 1, Dasmariñas City, Cavite",Dasmariñas City,City of Dasmariñas,PH042106000,Cavite,PH042100000,Region IV-A,PH040000000
351,SMMS IT Center  ,IT Center,Operating,"Barangay Mayamot, Marcos Hi-way, Antipolo City ",Antipolo City,City of Antipolo,PH045802000,Rizal,PH045800000,Region IV-A,PH040000000
352,SMPIC Special Economic Zone ,Manufacturing,Operating,"Barangay Paciano Rizal, Calamba City, Laguna",Calamba City,City of Calamba,PH043405000,Laguna,PH043400000,Region IV-A,PH040000000
353,SMTT IT Park,IT Park,Operating,"Manila East Road, Barangay Dolores, Taytay, Rizal",Taytay,Taytay,PH175320000,Palawan,PH175300000,Region IV-B,PH170000000
354,Solaris One (formerly Dela Rosa E-Services Building),IT Center,Operating,"Dela Rosa Street, Makati City",Makati City,City of Makati,PH137602000,"NCR, Fourth District",PH137600000,National Capital Region,PH130000000
355,Southgate Towers  [formerly Alphaland Southgate Towers],IT Center,Operating,"2258 Pasong Tamo Extension corner EDSA, Makati City",Makati City,City of Makati,PH137602000,"NCR, Fourth District",PH137600000,National Capital Region,PH130000000
356,SouthPark Corporate Center,IT Center,Operating,"Along National Road, Barangay Alabang, Muntinlupa City ",Muntinlupa City,City of Muntinlupa,PH137603000,"NCR, Fourth District",PH137600000,National Capital Region,PH130000000
357,Southwoods Mall  ,IT Center,Operating,"Barangay Halang, Soro-Soro, San Francisco, Biñan, Laguna ",Biñan,City of Biñan,PH043403000,Laguna,PH043400000,Region IV-A,PH040000000
358,Spark Place  ,IT Center,Operating,"P. Tuazon corner 10th Avenue, Cubao, Quezon City ",Cubao,Quezon City,PH137404000,"NCR, Second District",PH137400000,National Capital Region,PH130000000
359,SRC Allah Valley Economic Development Zone,Agro-Industrial,Operating,"Tubi-allah, Surallah, South Cotabato ",Surallah,Surallah,PH126313000,South Cotabato,PH126300000,Region XII,PH120000000
360,SRC Calumpang Economic Development Zone,Agro-Industrial,Operating,"Calumpang, General Santos City",General Santos City,General Santos City,PH126303000,South Cotabato,PH126300000,Region XII,PH120000000
361,SRC Upper Klinan Economic Development Zone,Agro-Industrial,Operating,"Upper Klinan, Polomolok, South Cotabato",Polomolok,Polomolok,PH126312000,South Cotabato,PH126300000,Region XII,PH120000000
362,St. Frances Cabrini Medical Tourism Park,Medical Tourism Park,Operating,"Maharlika Highway, Sto. Tomas, Batangas",Sto. Tomas,Santo Tomas,PH112318000,Davao del Norte,PH112300000,Region XI,PH110000000
363,St. Francis Square  ,IT Center,Operating,"J. Vargas cor. Bank Drive, Ortigas Center, Mandaluyong City",Mandaluyong City,City of Mandaluyong,PH137401000,"NCR, Second District",PH137400000,National Capital Region,PH130000000
364,St. Luke’s Medical Center Global City,Medical Tourism Center,Operating,"Rizal Drive Corner 5th Avenue and 32nd Street, Fort Bonifacio Global City, Taguig City",Taguig City,Taguig City,PH137607000,"NCR, Fourth District",PH137600000,National Capital Region,PH130000000
365,Sta. Maria Industrial Park,Manufacturing,Operating,"Bulac, Sta. Maria, Bulacan",Sta. Maria,Santa Maria,PH175917000,Romblon,PH175900000,Region IV-B,PH170000000
366,Sta. Rosa Commercial IT Park ,IT Park,Operating,"Barrio San Jose, Sta. Rosa City, Laguna",Sta. Rosa City,Santa Rosa,PH034928000,Nueva Ecija,PH034900000,Region III,PH030000000
367,Subic Shipyard Special Economic Zone,Manufacturing,Operating,"Cabangaan Point, Subic, Zambales",Subic,Subic,PH037114000,Zambales,PH037100000,Region III,PH030000000
368,Summit One Office Tower ,IT Center,Operating,"Shaw Boulevard, Mandaluyong City",Mandaluyong City,City of Mandaluyong,PH137401000,"NCR, Second District",PH137400000,National Capital Region,PH130000000
369,Sun Plaza      ,IT Center,Operating,"Princeton Street corner Shaw Boulevard, Mandaluyong City",Mandaluyong City,City of Mandaluyong,PH137401000,"NCR, Second District",PH137400000,National Capital Region,PH130000000
370,Sunnymede IT Center  ,IT Center,Operating,"1614 Quezon Avenue, Quezon City ",Quezon City,Quezon City,PH137404000,"NCR, Second District",PH137400000,National Capital Region,PH130000000
371,Suntech iPark ,IT Park,Operating,"Lancaster Estates, Imus, Cavite",Imus,Imus City,PH042109000,Cavite,PH042100000,Region IV-A,PH040000000
372,Suntrust Ecotown Tanza,Manufacturing,Operating,"Sahud-Ulan, Tanza, Cavite",Tanza,Tanza,PH042120000,Cavite,PH042100000,Region IV-A,PH040000000
373,Supima eCircle ,IT Park,Operating,"Malhacan Road, Malhacan, Mecauayan, Bulacan",Mecauayan,City of Meycauayan,PH031412000,Bulacan,PH031400000,Region III,PH030000000
374,Synergis IT Center ,IT Center,Operating,"F. Cabahug Street, Kasambangan, Cebu City",Kasambangan,Cebu City,PH072217000,Cebu,PH072200000,Region VII,PH070000000
375,T.U. Building,IT Center,Operating,"Lacson Street corner B.S. Aquino Drive, Bacolod City",Bacolod City,Bacolod City,PH064501000,Negros Occidental,PH064500000,Region VI,PH060000000
376,Tabangao Special Economic Zone,Manufacturing,Operating,"Tabangao,  Batangas",Batangas,Batangas City,PH041005000,Batangas,PH041000000,Region IV-A,PH040000000
377,Taganito Special Economic Zone,Manufacturing,Operating,"Barangays Cagdianao, Hayanggabon, and Taganito, Municipality of Claver, Province of Surigao Del Norte",Province of Surigao Del Norte,Anao,PH036901000,Tarlac,PH036900000,Region III,PH030000000
378,Tagbilaran Uptown IT Hub,IT Park,Operating,"Raja Sikatuna Avenue, Dampas District, Tagbilaran City, Bohol",Tagbilaran City,Tagbilaran City,PH071242000,Bohol,PH071200000,Region VII,PH070000000
379,Tarlac Provincial IT Park II,IT Park,Operating,"Brgy. Tibag, Tarlac City",Tarlac City,City of Tarlac,PH036916000,Tarlac,PH036900000,Region III,PH030000000
380,TDG Innovation and Global Business Solutions Center,IT Center,Operating,"AFP-RSBS Compound, Km. 12 East Service Road, C5, Taguig City",Taguig City,Taguig City,PH137607000,"NCR, Fourth District",PH137600000,National Capital Region,PH130000000
381,TechZone Building ,IT Center,Operating,"Sen. Gil Puyat Avenue, Makati City ",Makati City,City of Makati,PH137602000,"NCR, Fourth District",PH137600000,National Capital Region,PH130000000
382,TECO Industrial Park,Manufacturing,Operating,"Bundagul and Paralayunan, Mabalacat, Pampanga",Mabalacat,Mabalacat City,PH035409000,Pampanga,PH035400000,Region III,PH030000000
383,The 30th Corporate Center,IT Center,Operating,"Meralco Avenue corner St. Paul Road, Barangay Ugong, Pasig City",Pasig City,City of Pasig,PH137403000,"NCR, Second District",PH137400000,National Capital Region,PH130000000
384,The Annex-SM City Davao IT Center   ,IT Center,Operating,"Quimpo Boulevard, Matina, Davao City",Davao City,Davao City,PH112402000,Davao del Sur,PH112400000,Region XI,PH110000000
385,The Block IT Park ,IT Park,Operating,"Villamonte, Bacolod City",Bacolod City,Bacolod City,PH064501000,Negros Occidental,PH064500000,Region VI,PH060000000
386,The Discovery Center  ,IT Center,Operating,"25 ADB Avenue, Ortigas Center, Pasig City",Pasig City,City of Pasig,PH137403000,"NCR, Second District",PH137400000,National Capital Region,PH130000000
387,The Enterprise Center  ,IT Center,Operating,"6766 Ayala Avenue cor. Paseo de Roxas, Makati City",Makati City,City of Makati,PH137602000,"NCR, Fourth District",PH137600000,National Capital Region,PH130000000
388,The Facilities Centre,IT Center,Operating,"548 Shaw Boulevard, Mandaluyong City",Mandaluyong City,City of Mandaluyong,PH137401000,"NCR, Second District",PH137400000,National Capital Region,PH130000000
389,The Finance Centre,IT Center,Operating,"Block 55, 26th St. corner 9th Avenue, Bonifacio South District, Bonifacio Global City, Taguig City ",Taguig City,Taguig City,PH137607000,"NCR, Fourth District",PH137600000,National Capital Region,PH130000000
390,The Globe Tower Cebu (formerly Innove IT Plaza) ,IT Center,Operating,"Samar Loop cor. Panay Road, Cebu Business Park, Cebu City",Cebu Business Park,Cebu City,PH072217000,Cebu,PH072200000,Region VII,PH070000000
391,The Mactan Newtown,Tourism,Operating,"Barangay Mactan, Lapu-Lapu City, Cebu",Lapu-Lapu City,Lapu-Lapu City,PH072226000,Cebu,PH072200000,Region VII,PH070000000
392,The North Park ,IT Center,Operating,"Barangay Alang-Alang, Mandaue City",Mandaue City,Mandaue City,PH072230000,Cebu,PH072200000,Region VII,PH070000000
393,The Paragon Corporate Centre,IT Center,Operating,"Lot 6, Industry St., Madrigal Business Park, Ayala Alabang, Muntinlupa City",Muntinlupa City,City of Muntinlupa,PH137603000,"NCR, Fourth District",PH137600000,National Capital Region,PH130000000
394,The Rockwell Business Center,IT Park,Operating,"Block 4, Meralco Center, Barangay Ugong, Ortigas Avenue, Pasig City",Pasig City,City of Pasig,PH137403000,"NCR, Second District",PH137400000,National Capital Region,PH130000000
395,The VYV   ,IT Center,Operating,"Valdez Center, San Nicolas, Ilocos Norte",Ilocos Norte,San Nicolas,PH133904000,"NCR, City of Manila, First District",PH133900000,National Capital Region,PH130000000
396,Tower 6789 ,IT Center,Operating,"Ayala Avenue, Barangay Bel-Air, Makati City",Makati City,City of Makati,PH137602000,"NCR, Fourth District",PH137600000,National Capital Region,PH130000000
397,Toyota-SEZ formerly Toyota Sta. Rosa (Laguna)  Special Economic Zone],Manufacturing,Operating,"Pulong Sta. Cruz, Sta. Rosa City, Laguna",Sta. Rosa City,Santa Rosa,PH034928000,Nueva Ecija,PH034900000,Region III,PH030000000
398,Trafalgar Plaza  ,IT Center,Operating,"105 H. V. de la Costa Street, Salcedo Village, Makati City",Makati City,City of Makati,PH137602000,"NCR, Fourth District",PH137600000,National Capital Region,PH130000000
399,Transcom Center Bacolod   ,IT Center,Operating,"Araneta Street, Barangay Tangub, Bacolod City",Bacolod City,Bacolod City,PH064501000,Negros Occidental,PH064500000,Region VI,PH060000000
400,Twenty-five Seven McKinley  ,IT Center,Operating,"7th Avenue corner 25th St., Bonifacio Global City, Fort Bonifacio, Taguig City",Taguig City,Taguig City,PH137607000,"NCR, Fourth District",PH137600000,National Capital Region,PH130000000
401,Twenty-four Seven McKinley ,IT Center,Operating,"7th Avenue corner 24th St., Fort Bonifacio, Global City, Taguig City",Taguig City,Taguig City,PH137607000,"NCR, Fourth District",PH137600000,National Capital Region,PH130000000
402,Two Sanparq ,IT Center,Operating,"San Antonio Park Square, Lacson Street, Mandalagan, Bacolod City",Bacolod City,Bacolod City,PH064501000,Negros Occidental,PH064500000,Region VI,PH060000000
403,UnionBank Plaza ,IT Center,Operating,"Meralco Avenue cor. Onyx Street, Ortigas Center, Pasig City",Pasig City,City of Pasig,PH137403000,"NCR, Second District",PH137400000,National Capital Region,PH130000000
404,UP Science And Technology Park (North) ,IT Park,Operating,"Commonwealth  Avenue, Quezon City",Quezon City,Quezon City,PH137404000,"NCR, Second District",PH137400000,National Capital Region,PH130000000
405,UP Town Corporate Center,IT Center,Operating,"UP Town Center, Katipunan Avenue, Barangay UP Campus, Quezon City ",Barangay UP Campus,Quezon City,PH137404000,"NCR, Second District",PH137400000,National Capital Region,PH130000000
406,Uptown Bonifacio,IT Park,Operating,"North Bonifacio District, Bonifacio Global City, Taguig City",Taguig City,Taguig City,PH137607000,"NCR, Fourth District",PH137600000,National Capital Region,PH130000000
407,Valencia Special Economic Zone,Agro-Industrial,Operating,"Barangay Palinpinon, Municipality of Valencia, Province of Negros Oriental",Municipality of Valencia,Valencia,PH074623000,Negros Oriental,PH074600000,Region VII,PH070000000
408,V-Corporate Centre  ,IT Center,Operating,"Along L.P. Leviste Street (formerly Alfaro Street), Salcedo Village, Makati City",Makati City,City of Makati,PH137602000,"NCR, Fourth District",PH137600000,National Capital Region,PH130000000
409,Venvi IT Hub,IT Park,Operating," Valdez Center, San Nicolas, Ilocos Norte",Ilocos Norte,San Nicolas,PH133904000,"NCR, City of Manila, First District",PH133900000,National Capital Region,PH130000000
410,Vertis North IT Park,IT Park,Operating,"EDSA, North Triangle, Quezon City ",North Triangle,Quezon City,PH137404000,"NCR, Second District",PH137400000,National Capital Region,PH130000000
411,Villa Angela Techno Park,IT Park,Operating,"Don Carlos Hilado Avenue corner F. Gonzaga Avenue, Bacolod City ",Bacolod City,Bacolod City,PH064501000,Negros Occidental,PH064500000,Region VI,PH060000000
412,Vista Hub  ,IT Center,Operating,"Lot 5 & 6, 21st Drive Bonifacio Global City, Taguig ",Taguig,Taguig City,PH137607000,"NCR, Fourth District",PH137600000,National Capital Region,PH130000000
413,Vista Mall Bataan (BPO) [formerly Starmall Bataan (BPO)],IT Center,Operating,"Roman Highway, Barangay Cupang, Balanga, Bataan ",Balanga,City of Balanga,PH030803000,Bataan,PH030800000,Region III,PH030000000
414,Vistahub BPO Molino,IT Center,Operating,"Daang Hari Road, Molino IV, Bacoor City, Cavite",Bacoor City,Bacoor City,PH042103000,Cavite,PH042100000,Region IV-A,PH040000000
415,Vitro Internet Data Center Building  ,IT Center,Operating,"Carlos P. Garcia (C5) corner Danny Floor  Street, Pasig City",Pasig City,City of Pasig,PH137403000,"NCR, Second District",PH137400000,National Capital Region,PH130000000
416,W City Center ,IT Center,Operating,"7th Avenue corner 30th Street, Bonifacio Global City, Taguig City",Taguig City,Taguig City,PH137607000,"NCR, Fourth District",PH137600000,National Capital Region,PH130000000
417,W Fifth Avenue    ,IT Center,Operating,"Block 1, 5th Avenue, Bonifacio Global City, Taguig City",Taguig City,Taguig City,PH137607000,"NCR, Fourth District",PH137600000,National Capital Region,PH130000000
418,W North  ,IT Center,Operating,"34th Street, Bonifacio Global City, Taguig City",Taguig City,Taguig City,PH137607000,"NCR, Fourth District",PH137600000,National Capital Region,PH130000000
419,Waltermart-North EDSA ,IT Center,Operating,"Epifanio Delos Santos Avenue, Barangay Veterans Village, Quezon City",Barangay Veterans Village,Quezon City,PH137404000,"NCR, Second District",PH137400000,National Capital Region,PH130000000
420,West Cebu Industrial Park,Manufacturing,Operating,"Arpili & Buanoy, Balamban, Cebu ",Balamban,Balamban,PH072208000,Cebu,PH072200000,Region VII,PH070000000
421,Worldwide Corporate Center  ,IT Center,Operating,"Shaw Boulevard, Mandaluyong City",Mandaluyong City,City of Mandaluyong,PH137401000,"NCR, Second District",PH137400000,National Capital Region,PH130000000
